NU_NUMERO_CONTRATO;DT_DATA_ASSINATURA;NU_VALOR_FINANCIAMENTO;NU_TAXA_JUROS;NU_PRAZO_CARENCIA;NO_NOME_MUTUARIO;NU_CPF;NU_NUMERO_IDENTIDADE;DT_DATA_NASCIMENTO;NO_ESTADO_CIVIL;NO_SEXO;NO_UF;NO_MUNICIPIO;NO_ENDERECO;NU_CEP
186321;29/02/2024;33343.00;45.000;1;MARIA ;11651986688;3209002;16/08/1965;divorciado;M;MT;CUIABA;R RUA RIO SOLIMOES, 0;75950035
154290;30/09/2020;57443.65;45.000;35;JOANA ;10606946049;3253929;10/05/1954;solteiro;M;PE;PAULISTA;R RUA 1;80980858
170816;07/05/2024;76785.80;45.000;23;SANDRA ;11410467485;2074379;25/12/1960;solteiro;M;RS;NOVO HAMBURGO;R RUA MARANHAO, 0;50299146
194961;05/02/2020;99335.90;66.600;48;GILDA ;11071714378;4871575;19/05/1950;solteiro;M;SP;VALINHOS;R RUA RIO DE JANEIRO, 0;76032020
181116;06/12/2023;72000.00;60.000;47;MARCIO ;10802566646;1612039;28/12/1981;solteiro;M;SE;PORTO DA FOLHA;R RUA RIO DE JANEIRO, 0;30552818
172228;05/05/2024;76500.00;55.000;34;WALDISON ;10601657249;9764838;02/08/1982;divorciado;F;MT;CUIABA;R RUA PARAIBA, 4;23421472
123124;08/06/2023;53400.00;50.000;19;ANTONIO ;10012204173;1978947;29/01/1974;solteiro;F;BA;TEIXEIRA DE FREITAS;R RUA RIO DE JANEIRO, 0;88727793
181816;15/01/2022;71883.00;45.000;9;SILVINA ;10350085359;1455128;09/11/1964;solteiro;M;SP;MARILIA;R RUA RIO DE JANEIRO, 0;70073445
147326;17/06/2022;42845.94;50.000;43;FILIPPE ;11604355785;1380870;06/11/1982;solteiro;F;RJ;MACAE;R R PARAIBA 4;48527637
111126;04/02/2022;47477.00;45.000;4;DANIELLE ;11868980931;8371709;14/09/1961;solteiro;M;SE;ARACAJU;R RUA DESEMBARGADOR JAMES PORTUGAL, 0;45091843
187463;10/05/2023;109306.61;55.000;17;LINDALICE ;10147540659;8224608;24/12/1962;solteiro;F;SP;SAO PAULO;R RUA MAIORCA, 0;77235821
137036;30/07/2020;125720.00;66.600;16;CLEOMIR ;10604170601;6228125;25/05/1971;divorciado;M;PR;PONTA GROSSA;MUN R RIO PALMILAL, 0;63893263
185443;29/11/2022;15000.00;50.000;43;LUIZ ;10407701792;5684857;05/06/1988;solteiro;F;SP;CAMPINAS;R R RIO DE JANEIRO, 0;25976791
121338;21/03/2020;101923.97;60.000;40;GICELI ;12045145044;3579173;11/03/1982;solteiro;M;PA;ANANINDEUA;R GOVERNADOR MARIO COVAS N 2;26832853
190868;06/07/2021;49885.10;60.000;34;ROSENILDE ;10845908165;9657067;04/09/1966;solteiro;M;AM;PARINTINS;R GOVERNADOR MARIO COVAS N 2;61960193
169946;25/01/2021;76376.17;66.600;17;MARIA ;10692241267;7913663;06/04/1992;solteiro;M;RO;PORTO VELHO;R RUA GOVERNADOR MARIO COVAS N 2;14004507
198208;03/10/2023;39265.00;45.000;43;RAFAEL ;10375968670;6553811;13/10/1966;casado;M;PE;BELO JARDIM;R GOVERNADOR MARIO COVAS N2;27704173
141216;16/07/2020;90196.08;50.000;1;JOSE ;11833200382;1368585;25/11/1988;casado;M;PR;CURITIBA;R ANTONIO LEOPODINO BATISTA, 0;66388638
112908;01/06/2020;48116.00;45.000;14;ADEVANYSON ;10867952088;7527714;20/06/1972;divorciado;M;PA;ANANINDEUA;R ANTONIO LEOPODINO BATISTA, 0;44326896
171406;21/02/2020;61369.22;45.000;40;PRISCILAINE ;12090325514;7070078;05/11/1969;solteiro;F;RS;IVOTI;R GOVERNADOR MARIO COVAS N 2;72614474
144940;09/05/2022;85500.00;55.000;10;JULIANNA ;11129643163;2288963;01/10/1986;solteiro;M;SC;ITAJAI;R GOV MARIO COVAS, 0;52917873
140548;20/12/2020;57000.00;45.000;18;CECILIA ;11280801490;5384534;02/06/1963;divorciado;M;GO;APARECIDA DE GOIANIA;R RUA GOVERNADOR MARIO COVAS, 0;55336722
198243;22/12/2023;89018.10;76.600;19;FABRICIO ;11837469595;5158416;18/02/1960;divorciado;F;SP;SAO PAULO;R GOVERNADOR MARIO COVAS N2;84851995
185538;01/12/2023;39860.81;76.600;34;JOSE ;10608786610;6233965;23/11/1978;solteiro;M;SP;JUNDIAI;R GOVERNADOR MARIO COVAS N2;11234974
106008;18/01/2021;88407.46;76.600;50;OLDA ;10863220543;5924722;03/09/1958;divorciado;M;RJ;RIO DE JANEIRO;R RUA GOVERNADOR MARIOSCOVAS, 0;86935543
160857;25/02/2023;87748.21;45.000;20;PATRICIA ;10874722469;1749708;18/03/1951;solteiro;M;SP;CAMPINAS;R RUA GOVERNADOR MARIO COVAS N2;63319317
178683;06/12/2021;62693.00;50.000;40;MARCUS ;11091907414;8873414;30/09/1959;divorciado;M;SE;ARACAJU;R RUA GOVERNADOR MARIO COVAS N2;32670251
127121;06/04/2021;81897.38;50.000;18;ANDRE ;11717744007;6214681;14/10/1992;divorciado;M;SP;RIBEIRAO PRETO;R RUA FUNCION RIO PEDRO ALVES DA SILVA N, 0;40535329
198760;30/06/2021;73563.15;45.000;13;EROTILDES ;10479498058;6685856;15/10/1950;divorciado;F;MG;UBERABA;AV AVENIDA NATAL, 0;22394278
143354;14/01/2023;85500.00;45.000;29;ALINE ;11515702400;9817303;04/08/1955;solteiro;F;PR;LONDRINA;ARG RUA NOVA JERUSALEM, NR. 2;87359076
128357;24/10/2023;39265.00;50.000;43;MARCIO ;11254218204;1669967;03/04/1984;divorciado;M;PE;BELO JARDIM;R JOAQUIM PATRICIO DE SOUZA N 2;56738458
180703;02/05/2021;100591.58;55.000;16;NADIA ;12000299782;7089108;09/12/1983;divorciado;F;SP;FERRAZ DE VASCONCELOS;R GOVERNADOR MARIO COVAS 2;49777127
157534;07/05/2021;98160.00;45.000;40;KARINA ;10577705232;6503624;06/07/1956;divorciado;F;BA;SALVADOR;R GOVERNADOR MARIO COVAS N 2;18637281
123945;22/01/2021;55600.00;45.000;9;JORGE ;11798413258;4333856;15/02/1950;divorciado;M;MT;JUINA;R GOVERNADOR MARIO COVAS N 2;28176349
194803;10/06/2023;94021.12;45.000;39;HAYDE ;11688317947;1565140;18/07/1961;divorciado;F;SP;JUNDIAI;R GOVERNADOR MARIO COVAS APTO 3;75564891
115974;20/06/2021;65013.00;45.000;3;MARIA ;11525865982;3992368;08/07/1971;solteiro;M;SC;CHAPECO;R GOVERNADOR MARIO COVAS N 2;56875140
192794;29/01/2023;81919.44;45.000;18;GIVANILSON ;10961002255;5876136;10/08/1993;solteiro;M;PR;CURITIBA;R R JOSE BEZERRA FALCAO, 0;66184641
173867;23/03/2020;69290.00;50.000;8;ADRIANA ;10560936927;8263165;23/03/1961;divorciado;F;RS;FREDERICO WESTPHALEN;R GOVERNADOR MARIO COVAS N 2;64997729
130284;14/05/2024;88902.00;55.000;29;JAILSON ;10848342391;8852690;09/04/1966;divorciado;F;RJ;NILOPOLIS;R GOVERNADOR MARIO COVAS N 2;19111728
163322;15/10/2020;86500.99;81.600;31;WALDEREZ ;12141241254;7731973;03/04/1999;divorciado;M;CE;FORTALEZA;R RUA CAETANO FIGUEIREDO N1;58651097
143994;18/05/2023;88238.53;45.000;5;DAVIR ;10804226295;1409619;30/11/1985;divorciado;M;SP;SOROCABA;R R GENTIL RODRIGUES DA SILVA, 0;16446365
145484;13/11/2023;81727.00;45.000;50;NAYANE ;10309850189;7733629;29/06/1996;divorciado;M;RS;BENTO GONCALVES;R GENTIL RODRIGUES DA SILVA N 2;96347265
162865;10/07/2023;62040.00;50.000;38;FELIPE ;10965230431;2273571;09/06/1991;casado;F;SE;ARACAJU;R R GOVERNADOR MARIO COVAS, 0;66053511
104844;20/07/2023;89972.00;45.000;48;VANIA ;10224904716;9347123;24/06/1971;divorciado;M;GO;ANAPOLIS;R R. PROFESSORA LUIZA DANTAS MEDEIROS, 5;12294705
107370;03/01/2023;23262.42;50.000;8;THAIS ;11639506048;8207955;26/10/1989;casado;M;PI;PARNAIBA;R GOVERNADOR MARIO COVAS N 2;67580656
122111;30/01/2023;71117.21;50.000;13;IONE ;10498717395;2686098;20/11/1981;divorciado;M;CE;FORTALEZA;R GOVERNADOR MARIO COVAS N 2;43826465
111476;08/09/2022;40436.04;55.000;29;JANDERSON ;11312653922;5650103;27/04/1995;solteiro;M;SP;SALTO;R GOVERNADOR MARIO COVAS, 0;80426798
194464;23/01/2023;65924.29;50.000;29;GEORGE ;10789357496;1759349;21/08/1957;divorciado;M;BA;SALVADOR;R GOVERNADOR MARIO COVAS N 2;24629872
150449;13/01/2022;74352.00;45.000;31;CLOVIS ;10925499018;6296313;28/10/1972;solteiro;F;PR;LONDRINA;R R GOVERNADOR MARIO COVAS, 0;49862096
157282;25/10/2023;34500.00;45.000;37;SOLANGE ;11260891294;2824001;11/01/1997;divorciado;M;MT;CUIABA;R R GOVERNADOR MARIO COVAS, 0;69884862
191016;15/03/2021;52528.47;50.000;7;RAFAEL ;11329183127;9464070;18/02/1971;solteiro;M;RS;PELOTAS;R GENTIL RODRIGUES DA SILVA, 0;51010754
117494;31/01/2021;49562.62;45.000;21;MARIA ;11585748013;2235877;29/09/1988;divorciado;M;MG;ANDRADAS;R GOVERNADOR MARIO COVAS N 2;92905752
157125;14/01/2022;79409.40;76.600;33;MARCOS ;11014153941;3875100;05/09/1986;solteiro;M;SP;GUARULHOS;R RUA GENTIL RODRIGUES DA SILVA, 0;86326943
119024;03/07/2021;69503.02;55.000;35;JOANDERSON ;11400073926;1425937;30/09/1996;divorciado;F;RS;CANOAS;R GENTIL RODRIGUES DA SILVA N 2;98830614
197404;10/11/2020;86680.84;60.000;30;JACIELE ;10126513964;2538345;16/10/1973;divorciado;M;SP;GUARULHOS;R GOVERNADOR MARIO COVAS N 2;99736708
160902;22/06/2020;83760.00;76.600;45;LAURA ;10896582833;1266334;17/04/1985;divorciado;F;GO;GOIANIA;R GOVERNADOR MARIO COVAS N 2;57279358
122115;02/03/2023;86400.00;76.600;23;MAYANA ;11762133999;7922731;10/01/1977;solteiro;M;SC;ITAJAI;R GENTIL RODRIGUES DA SILVA, 0;47520764
142280;26/10/2023;92750.54;76.600;31;JENIFFER ;10506804898;1980034;18/06/1976;divorciado;M;PR;ARAUCARIA;R GOVERNADOR MARIO COVAS, 0;46529351
145368;04/06/2022;85984.00;50.000;43;ELINEIDE ;10751585309;2580493;17/10/1957;solteiro;M;SC;SAO JOSE;R GOVERNADOR MARIO COVAS N 2;15263265
190572;18/08/2021;22525.76;45.000;12;RAFAEL ;11339781092;6139246;23/08/1962;divorciado;F;RN;SAO FRANCISCO DO OESTE;R R GENTIL RPDRIGUES DA SILVA, 0;61382543
178293;17/08/2022;86286.00;45.000;22;LUCIANO ;11730579310;8423630;22/06/1994;solteiro;M;GO;APARECIDA DE GOIANIA;R RUA AGT ADMINIST LEONARDO CERQUEIR CAST, 0;71234585
143132;03/05/2020;97794.52;55.000;13;VAGNER ;11060660681;6860333;20/05/1965;divorciado;M;MG;BETIM;R GOVERNADOR MARIO COVAS N 2;47066662
141124;28/05/2021;93038.00;45.000;29;CREYSEANNE ;10758959089;7957290;31/10/1953;solteiro;M;MG;RIBEIRAO DAS NEVES;R GOVERNADOR MARIO COVAS N 2;83282707
147545;14/06/2023;72937.12;50.000;6;ALISSON ;10003195973;4974681;13/02/1976;divorciado;F;SP;SAO JOSE DOS CAMPOS;PCA TOSCANO PEREIRA DE SOUZA, 0;81394164
196845;05/12/2022;93597.40;60.000;32;DANIELA ;11571370694;2806855;24/08/1958;divorciado;M;SP;PRAIA GRANDE;R R EVANGELICA MARIA V, FERREIRA DE AGUIA, 0;88442463
131941;15/04/2021;83610.00;45.000;26;LUCIJANE ;10235372296;8019348;13/01/1967;divorciado;M;PR;FAZENDA RIO GRANDE;R R FRANCISCO DE VASCONCELLOS LEIT O APT, 0;95593518
108076;01/01/2022;23262.42;50.000;27;SUELY ;11602605830;3197791;02/07/1982;divorciado;M;PI;PARNAIBA;PCA RUA JOAO ROQUE DA SILVA N 6;12767163
106242;05/09/2020;67533.74;45.000;27;NADGIANE ;10923905561;6799989;26/09/1950;divorciado;M;PR;ARAUCARIA;PCA RUA JOAO ROQUE DA SILVA  APT 2;28116581
111652;02/04/2022;85583.46;45.000;14;JOSEFA ;11733713135;4069092;26/08/1950;solteiro;M;PR;MARINGA;R R CAPITAO NATALICIO EVANGELISTA DOS SAN, 0;37662210
199234;21/03/2023;63210.38;45.000;35;MARCOS ;11928615823;3648829;24/04/1994;solteiro;F;PR;MARIALVA;R GOVERNADOR MARIO COVAS 2;55112124
107937;12/02/2023;71838.92;45.000;22;CASSIANO ;10894911824;2272992;02/11/1995;divorciado;F;SP;FERRAZ DE VASCONCELOS;R AV PERIMETRAL OESTE N 6;78767339
172071;12/04/2022;71206.13;55.000;20;VANESSA ;11061216341;7504319;21/10/1968;divorciado;F;SC;PALMITOS;R RUA GERALDO FRANCISCO DOS SANTOS, 0;72478092
163616;27/02/2023;66873.94;45.000;2;GRAZIELLE ;11440777043;1561342;02/09/1957;divorciado;F;MG;PASSOS;R RUA ABDIAS ABDON DE ARAUJO NR. 1;15940913
153688;14/11/2023;54579.00;50.000;33;LUCAS ;10545375180;5258878;31/05/1985;solteiro;M;SE;TOBIAS BARRETO;P RUA PROJETADA N 1;18556820
165198;20/07/2023;54579.00;50.000;28;IDALIA ;10051039697;2337984;27/08/1977;solteiro;M;SE;TOBIAS BARRETO;R RUA EUCLIDES NUNES MACHADO N 7;86888480
168984;01/08/2023;97658.48;60.000;5;ANDERSON ;10521795743;2555280;05/02/1963;solteiro;F;SP;SAO JOSE DOS CAMPOS;R RUA CEC   LIA BENEDITO DA SILVA NR 1;58126687
155432;20/07/2023;73047.00;45.000;22;MOISES ;11815123600;3343507;15/03/1997;solteiro;M;PR;FAZENDA RIO GRANDE;R RUA MARIA MADALENA RAMALHO BANDEIRA, 0;69804451
197823;17/03/2021;58823.53;50.000;15;BARBARA ;11639768358;9583096;23/04/1986;solteiro;F;PA;CASTANHAL;R RUA MARIA MADALENA RAMALHO BANDEIRA, 0;13095754
131303;23/11/2022;71242.00;45.000;12;SAMARA ;10486886134;2684510;11/11/1976;casado;F;GO;SANTO ANTONIO DO DESCOBERTO;R RUA FRANCISCO RUFINO DOS SANTOS, 7;92833839
117884;11/08/2020;72000.00;45.000;41;HECTOR ;11430578304;7250725;02/11/1951;solteiro;F;SP;TANABI;UO RUA PROJETADA 0;59150679
137256;13/07/2020;51755.59;45.000;5;VALERIA ;11840642632;5202896;21/10/1989;divorciado;F;PB;JOAO PESSOA;UO RUA PROJETADA 0;10128101
114132;12/07/2022;84479.69;50.000;5;RONIELLISON ;10474004740;7307059;07/04/1962;solteiro;M;SP;SAO PAULO;D RUA PROJETADA N 7;56970442
179658;12/01/2020;82977.95;50.000;38;ANA ;10323631196;7058355;01/10/1984;solteiro;M;RO;PORTO VELHO;D RUA FREI CANECA 8;90569561
139324;05/11/2020;67372.00;50.000;34;FLORIPES ;10407559009;7230891;14/12/1972;solteiro;M;SP;OLIMPIA;MUN LOTEA CIDADE DAS CRIANCAS N 3;84294217
165485;26/11/2022;67606.73;45.000;38;JADER ;10213719744;5753227;23/06/1963;divorciado;M;SP;FERRAZ DE VASCONCELOS;D RUA PROJETADA N 9;94648608
156265;26/01/2022;95733.00;50.000;25;CLAUDIA ;11779172439;9364861;10/02/1999;solteiro;F;PE;CARUARU;D RUA PROJETADA N 7;34861880
105079;13/11/2021;66697.73;45.000;20;LUCAS ;11488101509;3821209;19/12/1988;solteiro;F;RN;PARNAMIRIM;MUN RUA PROJETADA 0;38896434
152033;16/01/2020;91876.01;45.000;6;MAGALI ;10163534542;2494894;20/09/1974;divorciado;M;MG;SANTA LUZIA;R RUA PROJETADA N 2;53732831
108778;14/10/2022;100693.45;55.000;36;DANIELA ;12060953665;5130464;28/06/1970;solteiro;M;MG;UBERLANDIA;MUN RUA PROJETADA, 0;57572545
